start	end	eng	cmn	jpn
600051	603003	the small one from Las Vegas.	虽然是拉斯维加斯那个迷你版的	ベガスに有った小さいのだがな 
604598	608008	And I won't even mention the Eiffel Tower! Also Vegas.	还有艾菲尔铁塔! 也是拉斯维加斯的	そして、エッフェル塔さえも！  これもベガスのだ 
608685	616016	Okay, I wasn't going to tell you about this yet,  but I have been working on something very big!	好吧 我当时还不想说  其实我正在策划一项大工程!	...まだ話す予定ではなかったんだが、  ビックな計画に取り組んでる 
617193	621021	Something that will blow this pyramid thing out of the water!	金字塔那事跟它根本没法比!	ピラミッドなんか、眼じゃない 
622115	626026	And thanks to the efforts of my good friend Dr Nefario...	这还多亏了我的好朋友法瑞奥博士...	これもネファリオ博士の 努力のおかげだ 
626836	631031	Thank you!  There he is.  He's styling.	谢谢!  他来了  看他多有型	ありがとう、わしに注目！！  こちらへどうぞ... 
631875	635035	Now, we have located a shrink ray	我们查到一间秘密实验室里	ある研究所で極秘開発中の ”縮ませ光線”を探り出した 
635295	640040	in a secret lab, and once we take this shrink ray,	藏着缩小射线 只要我们把它到手	この縮ませ光線銃を奪うんだ これ無しでは成功はない 
640217	648048	we will have the capability  to pull off the true crime of the century.	我们就能够  犯下真正意义上的世纪大案	これで今世紀の 真の大悪党になるんだ 
648225	651051	We are going to steal...	我们要去偷的是...	...この縮ませ光線銃を奪うんだ 
653230	657057	Wait, wait! I haven't told you what it is yet.	等等 等等! 我还没说是什么呢	待て、待て  まだ何を盗むか 言ってないぞ！ 
660987	664004	Hey.  Dave, listen up, please.	嘿  戴夫 注意听好了	おい、デイブ、聞け！ 
668870	672012	Next, we are going to steal,	接下来 我们要去偷的是	...我々の獲物は 
672374	674014	pause for effect,	这时候停顿一下才给力	...悪党として極致 
675502	677017	the moon!	月球!	月だぁ～～～！ 
678880	683023	And once the moon is mine,	一旦月球落到我手里	月が俺達のものになれば 
683176	687027	the world will give me whatever I want to get it back!	想要我交出来的话 整个世界都得满足我的任何条件!	世界は交換に何でもくれるだろう 
687597	693033	And I will be the greatest villain of all time!	而我就会成为前无古人 后无来者的超级大坏蛋!	俺は史上最高の悪党になるのだ 
695939	700040	That's what I'm talking about.	这就是我要说的	これが俺の大計画だ 
701778	713053	Yes?  Hello, Gru? I've been crunching some numbers,  and I really don't see how we can afford this.  It can't be done. I'm not a miracle worker.	喂?  喂 格鲁? 我做了下预算  我们可没那么多钱玩这个  根本就不可行 我可创造不了奇迹	なんだい？  なぁ～グルー問題があるぞ 費用がかかりすぎる  成功には奇跡が必要だぞ 
713290	718058	Hey, chillax.  I'll iust get another loan from the bank. They love me!	嘿 别紧张  我再去银行贷笔款 他们都喜欢我!	落ちつけよ、銀行に掛け合ってみる、 お得意様なんだ 
734311	736016	Edith, stop it!	伊迪丝 别玩了!	イディス、やめて 
736104	738018	What? I'm just walking.	干嘛? 我就走路嘛	なぜ、歩いてるだけだよ 
744042	745025		"哈蒂小姐女童收留所"	”女子孤児院” 
750994	753033	- Hi, Miss Hattie. We're back. - Hi, Miss Hattie. We're back.	- 嗨 哈蒂小姐 我们回来了 - 嗨 哈蒂小姐 我们回来了	ハッティーさん 戻りました 
755999	757037	Hello, girls!	你们好 姑娘们!	お帰り 
757584	760040	Anybody come to adopt us while we were out?	我们不在的时候 有人来领养我们吗?	養子にしたいって人来た？ 
761338	763043	Let me think.	我想想	そうね... 
763840	765045	No!	没有!	来てない！ 
768136	771051	Edith! What did you put on my desk?	伊迪丝! 你把什么放我桌上了?	イディス、何を置いたのよ？ 
771640	773053	A mud pie.	泥巴派	泥まんじゅうよ 
774059	780000	You're never gonna get adopted, Edith. You know that, don't you?  - Yeah, I know. - Good.	你这样可别想有人来领养 伊迪丝 知道吗?  - 知道了 - 很好	...これじゃ養子は無理ね イディス  判るでしょう？  判ってるよ 
780690	784004	So, how did it go, girls? Did we meet our quotas?	那么 指标完成得怎么样啊? 姑娘们	よろしい で、ノルマは？ 
784861	786006	Sort of.	还行	まぁ... 
786279	790010	We sold 43 mini-mints, 30 choco-swirlies, and 18 coco-nutties.	我们卖了43个薄荷饼干 30个巧克力卷 还有18个椰子饼干	ミニミントを４３箱  チョコ味３０箱と ココナッツ入りを１８箱売ったわ 
792410	794014	Okay.	好吧	
794996	801021	Well, you say that like it's a great sale day.  Look at my face!	你是说 今天卖得很不错喽  你看我的表情!	そうね...よく売れたってわけね  私の顔をごらん！ 
801144	804024	Do you still think it's a great sale day?	你还觉得今天卖得不错吗?	そのくらいで すごい売上なん？ 
805382	807027	Eighteen coco-nutties.	18个椰子饼干	ココナッツ入り１８箱... 
807801	812032	I think we can do a little better than that, don't you?	我想你们还能做得好些 是不是啊?	もっと売れるでしょう、 どうなの？ 
813306	814034	Yeah.	是啊	
814349	819039	We wouldn't want to spend the weekend in the Box of Shame, would we? No.	你们都不想在周末关小黑屋吧? 不想	週末、ペニーみたいに ”恥さらしの箱”に入りたい？ 
819071	820040	- No, Miss Hattie. - No, Miss Hattie.	- 不想 哈蒂小姐 - 不想 哈蒂小姐	どうなの？  イヤです、ハッティーさん 
820472	824044	Okay, good. Off you go. Go clean something of mine.	很好 走吧 把我的衣服洗了	よろしい もう行っていいわ 
826236	828048	- Hi, Penny. - Hi, Penny.  Hi, guys.	- 嗨 佩妮 - 嗨 佩妮  嗨 你们好	- ペニー元気？ - みんな、お帰り 
833702	837057	Hello, Mom. Sorry, I meant to call, but...	喂 妈妈 抱歉 我想给你打电话的来着 可是...	ハロー母さん、ごめん 電話もしないで 
837158	840000	I iust wanted to congratulate you on stealing the pyramid.	我是来祝贺你把金字塔搞到手的	ピラミッドを盗んだ事を 祝いたかったんだよ 
840800	841001			フゥ～ 
841585	843003	That was you, wasn't it?	是你干的 对吗?	あれはお前だろう？ 
843295	847007	Or was it a villain who's actually successful?	还有哪个坏蛋能这么牛B呢?	それとも見事に 盗んだ奴がいたかい？ 
847963	853013	Just so you know, Mom, I am about to do something  that's very, very big, very important.	就像您说的 妈妈 我是在准备一件  惊天动地的大事	これから、ものスゴイ事をするんだ  とっても重要な事 
853525	857017	When you hear about it, you're going to be very proud.	你知道后 会为我非常骄傲的	計画を聞いたら 誇りに思うはずさ 
858087	861021	Good luck with that. Okay, I'm out of here.	那祝你好运吧 好了 我要挂了	まぁ～がんばりな じゃ～切るよ 
900940	903003		"坏蛋银行"	エビル　銀行 
929839	932032	Gru to see Mr Perkins.	我是格鲁 来找珀金斯先生	グルーだが パーキンス氏にお会いたい 
932342	935035	Yes, please have a seat.	好的 找个位子坐一下	どうぞ、御掛けになって 
946022	948048	That's one small step for man,	这对我来说也许只是一小步	
951319	953053	one giant leap for mankind.	但对整个人类却是一个跨越	
953154	956056	Ma, someday I'm going to go to the moon.	妈妈 我以后也要登月	ママ、僕はいつか月に行くんだ 
956533	959059	I'm afraid you're too late, Son.	恐怕你这话说晚了 儿子	遅すぎたわね 
959202	962002	NASA isn't sending the monkeys any more.	宇航局不再送猴子去做试验了	NASAはもう猿は送ってないわよ 
970380	971011	Hey.	嘿	
971011	972012			やぁー 
978889	983023	I'm applying for a new villain loan. Go by the name of Vector.	我也是来申请恶棍贷款的 我外号叫「向量」	ボクちゃん ローンを申し込んだんだ 
987689	994034	It's a mathematical term,  a quantity represented by an arrow, with both direction and magnitude.	这是个数学名词  就是带箭头的物理量 既有方向又有能量	数学用語なんだが矢印って意味もある 大きさと向きを持った量の事さ 
997741	999039	Vector! That's me,	向量! 就是我	ベクターってのは ボクちゃんの事さ 
999463	1005045	'cause I'm committing crimes with both direction and magnitude.	因为我作的案既有方向又有能量	ボクちゃんの悪事は  大きさと向きが 備わってるのさ 
1005207	1007047	Oh, yeah!	哦也!	
1009002	1016056	Check out my new weapon.  Piranha gun! Oh, yes!  Fires live piranhas. Ever seen one before? No, you haven't. I invented it.	看看我新发明的武器  食人鱼发射枪! 哦也!  能发射活的食人鱼 见过没? 当然没见过了 这可是我发明的	ボクちゃんのピラニア銃だ！新兵器  - デモを見るかい？ 
1016885	1019059	Do you want a demonstration?	要给你做个演示吗?	おっと... 
1020013	1024004	Shoot! So difficult, sometimes, to get the piranha back inside of my...	妈的! 有时候要把食人鱼装回去还真不简单...	ピラニアを戻るのが大変なんだ 
1024351	1027007	Mr Gru, Mr Perkins will see you now.	格鲁先生 珀金斯先生现在可以见你了	パーキンス氏が お待ちです 
1027812	1032012	So, all I need  is money from the bank to build a rocket.	于是 我只需要  银行能贷款给我造火箭	ロケット製造の為に 銀行の金が要るんです 
1032234	1036016	- And then, the moon is ours. - Wow!	- 那样的话 月球就是我们的了 - 哇哦!	そして月は 我々の物となります 
1036071	1040020	Well, very nice presentation.  I'd like to see this shrink ray.	这提议真给力  我想看看这缩小射线	すばらしい計画だ 縮ませ光線銃が見たいな 
1040408	1044024	Absolutely! Will do. Soon as I have it.	那是当然了! 只要一到手就给你看	間違いなく お見せします... 
1044160	1051031	You don't have it?  And yet you have the audacity to ask the bank for money?	这么说还没到手?  那你还有脸来银行借钱?	じきに  ...持ってないんだな それなのに借金を頼みに来たのか？ 
1052337	1059039	Apparently.  Do you have any idea of the capital that this bank has invested in you, Gru?	看来是这样  你知道银行在你身上花多少钱了吗 格鲁?	そう言う事に...  ...投資家について、どう考える？ ...お前の悪だくみで 
1059344	1064044	With far too few of your sinister plots actually turning a profit.	你那些能真正赚钱的邪恶计划少得可怜	利益を得るのが銀行だ 
1064808	1071051	How can I put it? Let's say this apple is you.  If we don't start getting our money back...	你叫我怎么忍受你? 好比你就是这个苹果  如果你没办法把那些钱都赢回来...	つまりだな...  このリンゴがお前だとしよう もし、返済出来ない時には 
1073525	1075055	Get the picture?	明白没?	判ったな？ 
1076653	1080000	Look, Gru, the point is, there are a lot of new villains out there,	听着 格鲁 关键是 现在新出道的坏蛋很多很多	問題は新たな泥棒たちだ 
1080532	1083003	younger than you, hungrier than you,	比你年轻 也比你更渴望成功	...お前よりも若く、貧欲だ 
1083451	1085005	younger than you.	比你年轻	若手だ 
1085579	1089009	Like that young fellow out there named Vector.  He just stole a pyramid!	就像门外那个叫向量的年轻人  金字塔就是他偷的!	...ベクターと言う奴だ  彼がピラミッドを盗んだ 
1091139	1096016	I've got it. I've got it.	明白了 明白了	...あいつ？わかりました 
1097507	1100020	So, as far as getting money for the rocket...	这么说 要想贷款造火箭...	それでロケットの資金は？ 
1100260	1103023	Get the shrink ray, then we'll talk.	就去把缩小射线弄来 否则免谈	縮ませ光線銃を手に入れろ 話はそれからだ 
1121070	1123043		"东亚某秘密研究基地"	
1191138	1193053			捕まえろ！ 
1193061	1194054	Suckers!	傻B!	
1199359	1200000	Suckers!	傻B!	またね 
1207617	1209009	We got it!	到手了!	手に入れたぞ 
1215959	1217017	What?	怎么回事?	なんだ？ 
1217168	1220020	Hey! Hey! What! Hey!	嘿! 嘿! 怎么回事! 嘿!	
1221673	1223023	No, no, no!	不 不 不!	どうした？やめろ！ 
1226261	1227027	You!	是你!	
1227313	1228028			貴様か！？ 
1230348	1236036	Now, maybe you'll think twice before you freeze someone's head!  So long, Gru!	以后冻住别人脑袋之前先想清楚  后会有期了 格鲁!	今度は相手を選んで凍らせるんだな  じゃ～な、グルー 
1237772	1240040	Quick! We can't let him get away!	快! 别让他跑了	奴を逃がすな！ 
1247866	1249049	Up ahead! Up ahead!	正前方! 正前方!	上だ、上！ 
1250452	1252052	Fire! Fire, now!	开火! 快开火!	今だ、撃て！ 
1261046	1262002	You missed me!	你没打中!	残念でした 
1262172	1264004	Come to papa!	让爷来教训你!	逃がすもんか 
1264608	1265005			捕まえられるかな 
1277395	1278018	Take that.	尝尝这个	
1280774	1283023	How adorable.	真可爱	素晴らしい花火だぜ 
1283655	1289029	Got you in our sights!  Like taking candy from a...  What?	这下你跑不掉了!  就像是探囊取...  什么?	見つけたぞ ...赤子の手をひねる様に... 
1289337	1290030			何！？ 
1290909	1295035	Hey, Gru!  Try this on for size!	嘿 格鲁!  看看飞船变小会怎么样!	グルーこいつはどうだ 縮めてやる！ 
1297123	1300040	That's weird. What is going...	这太诡异了 怎么...	何が起こってる？ 
1304589	1307047	This is claustrophobic!	我会得幽闭恐惧症的!	小さくなってる 
1308176	1309049	No, no, no!	不 不 不!	
1315267	1318058	Too small! This is too small for me!	太小了! 这太小了!	狭すぎる 
1324031	1326006	I hate that guy!	我恨那小子!	アイツ、大っ嫌いだ 
1332634	1343023	...and please watch over us, and bless that we'll have a good night's sleep.  And bless that while we're sleeping, no bugs will crawl into our ears  and lay eggs in our brains.	...请照看我们 保佑我们睡个好觉  保佑我们在睡觉的时候 不会有虫子爬进耳朵  在我们脑子里产卵	- よく眠れる様に、お守りください - 寝てる間に耳に虫が入って 
1343358	1346026	Great. Thanks for that image, Edith.	很好 谢谢你生动的描述 伊迪丝	変な例えしないでよ 
1346320	1349029	And please bless that someone will adopt us soon,	还有请保佑我们很快就有人收养	...早く誰かの養女になって 
1349681	1352032	and that the mommy and daddy will be nice	爸爸妈妈都对我们很好	パパとママは素敵な人で 
1352522	1354034	and have a pet unicorn.	我也能有只独角兽做宠物	ペットのユニコーンと 仲良くなれます様に 
1354963	1358038	Amen.  - Amen. - Amen.	阿门  - 阿门 - 阿门	アーメン  エーメン 
1362926	1366046	Unicorns, I love them Unicorns, I love them	独角兽 我喜欢 独角兽 我喜欢	...ユニコーン ユニコーンを愛してる 
1366168	1370050	Uni, uni, unicorns I love them	独角 独角兽 我喜欢	ユニ　ユニ ユニコーン～～ 
1370530	1377057	Uni, unicorns, I could pet one  If they were really real  And they are	独角 独角兽 养只做宠物  如果真的有独角兽  如果你们是真的	...ユニコーンを ペットに出来たなら 
1377212	1380000	So, I bought one so I could pet it	那我就能买一只来做宠物	...手に入れたなら 可愛がる 
1380540	1384004	Now it loves me Now I love it	它爱我 我也爱它	”女子孤児院” 
1389980	1391011		"向量的城堡"	
1419600	1421041		"安全警报"	
1460203	1462022	Don't you... What the...	这是...开什么玩笑...	
1491738	1494054	Good luck, little girls!	祝你们好运 小萝莉!	こりゃ、ラッキー 
1499451	1501001	Whoa! Cool.	哇哦 真酷!	- 何よ？ - すごい 
1502421	1508008	Hi! We're orphans from Miss Hattie's Home for Girls.  - I don't care. Beat it! - Come on!	嗨 我们是哈蒂女童收留所的孤儿  - 我不管 快滚! - 别这样!	こんにちは 施設の孤児なんですが  そんなの知るか、帰れ 
1508544	1512012	We're selling cookies so, you know, we can have a better future.	我们得多卖饼干 才可能有好前途	クッキーはいかが？ 前項でより良い未来を... 
1512255	1515015	- Wait, wait! Do you have coco-nutties? - Yeah.	- 等等! 你们有椰子饼干吗? - 有啊	待て、ココナッツ入りはあるか？ 
1537239	1539039	Light bulb.	有办法了	ひらめいた 
1542452	1547047	Dr Nefario!  I'm going to need a dozen tiny robots disguised as cookies!	法瑞奥博士!  给我造些饼干外形的微型小机器人!	博士！急いでクッキー型ロボットを作ってくれ 
1547207	1549049	- What? - Cookie robots!	- 什么? - 饼干机器人!	なんだと？  クッキーロボットだよ！ 
1549251	1551051	- Who is this? - Oh, forget it.	- 你谁啊? - 哦 算了吧	誰だって？  エエィ、めんどくせ～ 
1558301	1565005	Well, it appears you have cleared our background check,  Dr Gru.	看来你的背景符合我们的要求  格鲁医生	...身元確認が終わりました ...グルー博士ね 
1566560	1577017	And I see you have made a list  of some of your personal achievements.  Thank you for that. I love reading.	我看见你整理的那张  对你颇有好评的病人名单了  谢谢 我就爱看这个	ご自身の業績のリストまで おつくりに...  読むのは好きだから、感謝しますわ 
1583326	1589029	And I see you have been given the Medal of Honor  and a knighthood.	你得过荣誉勋章  还曾受爵位	...名誉勲章を お持ちなんですね  それにナイトの爵位も 
1590375	1593033	- Me, me, me. - Me, me, me.  Kevin?	- 我 我 我 - 我 我 我  凯文?	
1594921	1603043	You had your own cooking show  and you can hold your breath for 30 seconds?  It's not that impressive.	你有过自己的厨艺节目  能屏住呼吸30秒?  这很一般嘛	料理番組の司会に... 
1603261	1604044			ファンタスティック！ 
1605098	1606046	Idiot!	白痴!	
1608351	1611051	- Fight! Fight! Fight! Fight! - Fight! Fight! Fight! Fight!	- 打! 打! 打! 打! - 打! 打! 打! 打!	
1613064	1616056	What in the name of... What?	这都是些什么啊?	これはなんなの？ 
1616651	1626006	Well, here's the dealio.  Things have been so lonely since my wife,	好 那就这样吧  自从我妻子黛比过世后	実は訳がありまして... 
1626745	1633013	Debbie, passed on.  It's like my heart is a tooth,	我的人生就孤单起来  就好比 我的心是颗牙齿	妻のデビーが  他界して以来...  ...私は孤独を感じてます 心にポッカリ穴が 
1633084	1639019	and it's got a cavity that can only be filled with children.  I'm sorry.	而牙齿上蛀了个洞 只有孩子的爱才能填补好这个洞  请原谅	子供たちと幸せを 感じたいのです 
1643929	1650030	You are a beautiful woman. Do you speak Spanish?  Do I look like I speak Spanish?	你很漂亮 你会说西班牙语吗?  你看我像是会说西班牙语吗?	あなたは美しいですね スペイン語は出来ます？  話す様に見えますか？ 
1651895	1656036	You have a face como un burro.	你的脸生得五顑六肿额	あなたの顔は... <醜い...> 
1658763	1661041	Well, thank you!	哦 谢谢!	あら、まぁ...ありがとう 
1662885	1669049	Anyway, can we proceed with this adoption?  So, so excited!	言归正传 能继续谈收养问题了吗?  我都迫不及待了!	養子縁組 進めていただけるかな？ 
1670247	1674054	Please tell Margo, Edith and Agnes to come to the lobby.	去叫玛格, 伊迪丝和艾格尼斯到前厅来	マーゴ、イディス、アグネスに ロビーに来る様に伝えて 
1676670	1683003	I bet the mom is beautiful!  I bet the daddy's eyes sparkle.  I bet their house is made of Gummi Bears.	我猜妈妈一定很漂亮!  我猜爸爸的眼神很动人  我猜他们家里有的是大熊软糖	きっとママは美人よ  パパは目を輝かせてるよ  おうちはクマの形の グミで出来てるの 
1684469	1687007	I'm just saying it'd be nice.	就是说他们家会很漂亮	ステキって言わないのね 
1687847	1691011	My caterpillar never turned into a butterfly.	我的毛毛虫变不成蝴蝶了	あたしのイモ虫 蝶になんあいね 
1691226	1693013	That's a Cheeto.	那是奇多	それ、お菓子だよ 
1695981	1700020	Well, Debbie was a very lucky woman.	Debbie是个很幸运的女人	デビーは幸運な人だったのね 
1701903	1705025	Who's Debbie?  Your wife.	Debbie是谁?  你妻子啊	デビーって？  あなたの奥様でしょう 
1705282	1708028	Hi, girls!	嗨 丫头们!	みんな、来たわね 
1716835	1720040	Girls, I want you to meet Mr Gru.	姑娘们 来见见格鲁先生	グルーさんを紹介するわ 
1721006	1723043	He's going to adopt you.	他是来收养你们的	養子にしたいって 
1723133	1726046	And he's a dentist!	他是牙医哦!	彼は歯科医よ 
1728013	1729049	Yeah!	真棒!	
1733101	1745005	Hi. I'm Margo. This is Edith.  And that's Agnes.  I got your leg, I got your leg!  Okay, that is enough, little girl.	嗨 我是玛格 这是伊迪丝  那是艾格尼斯  我抓住你腿了 我抓住你腿了!  好啦 差不多行了 小丫头	こんにちは 私はマーゴ、こっちはエディス、  その子はアグネス  捉まえた、ツカマエタ  ヨッシャ、 行こうか、みんな 
1745155	1753013	- Let go of my leg. Come on. You can do it. - Higher!  - Higher! - Just release your grip. Wow!  How do you remove them? Is there a command?	- 放开我的腿 快 你知道怎么做的 - 再高点!  - 再高点! - 你只要撒开手就行 哇!  你平时都是怎么弄开的? 有什么口令吗?	ところで疲れるんで離してくれないかな いい加減にしろよ... 
1753413	1755015	Some nonstick spray?	还是用了什么不粘材料?	
1757000	1758018	Crowbar?	撬棍?	
1760337	1763023	Okay, girls, let's go.	好了 丫头们 我们走吧	まぁ～いいか、行こう 
1786494	1788048	Oh, yeah!	哦也!	やったね！ 
