start	end	eng	cmn	jpn
312440	316016	 The Auror Office no longer plays any part in the protection of Harry Potter. 	 傲罗办公室不再参与  保护哈利·波特的行动 	 オーラー局はもはやポッターの 防衛に少しも携わっていない。 
316610	323023	 Those closest to him believe we have infiltrated the Ministry.  Well, they got that right, haven't they? 	 凤凰社相信我们的人已经打入了魔法部  难得啊  他们总算弄对了一件事 	 彼に近い者たちは、我々が 魔法省に潜入していると思っている。  まあ、それは当たってるよな？ 
327160	330030	 What say you, Pius? 	 你怎么看  皮尔斯 	 お前はどう思う、パイアス？ 
333860	336036	 One hears many things, my Lord. 	 主人  乱花渐欲迷人眼 	 あれこれと聞こえてきますが… 
336490	339039	 Whether the truth is among them is not clear. 	 哪怕真相就在其中  也很难去伪存真 	 その中に真実があるのか どうか分かりません。 
339524	342042	 Heh. Spoken like a true politician. 	 这话说得像个政客 	 政治家みたいな言い方だな。 
342800	346046	 You will, I think, prove most useful, Pius. 	 以后会有你发挥的时候  皮尔斯 	 一番役に立ってくれることだろう。 
349280	352052	 - Where will he be taken, the boy? - To a safe house. 	 他们打算把那男孩藏哪  一个安全的地方 	 －どこに連れて行くだ？ －安全な隠れ家です。 
353250	355055	 Most likely the home of someone in the Order. 	 应该是某个凤凰社成员的家里 	 おそらく騎士団の誰かの家でしょう。 
355980	359059	 I'm told it's been given every manner of protection possible. 	 据说他们已经采取了各种保护措施 	 考えうるすべての魔法への防御が 施されているとか。 
359577	363003	 Once there, it will be impractical to attack him. 	 一旦他到了那里  就很难再抓到他了 	 一旦、そこに入れば、 彼を攻撃することは不可能でしょう。 
363348	368008	 Ahem. My Lord. I'd like to volunteer myself for this task. 	 主人  我请缨参加这次行动 	 我が君… 私はこの仕事に志願します… 
368453	369009	 I want to kill the boy. 	 我要杀了那男孩 	 あの小僧を殺したい。 
370090	377017	 Wormtail!  Have I not spoken to you about keeping our guest quiet?  Yes, my Lord. 	 虫尾巴  我没跟你说过吗  让客人保持安静  是的  主人 	 ワームテール！  お客さんを静にさせるように 言わなかったか？  分かりました 
377210	380020	 Right away, my Lord. 	 马上  主人 	 只今すぐに… 
380080	384024	 As inspiring as I find your bloodlust, Bellatrix... 	 你这种杀戮的欲望很鼓舞人心  贝拉特里克斯 	 ベラトリックス、お前が 相当血に飢えているのは分かるが… 
384910	388028	 ...I must be the one to kill Harry Potter. 	 但杀死哈利·波特的人  必须是我 	 ハリー･ポッターを殺すのはこの私だ。 
390720	395035	 But I face an unfortunate complication. 	 不幸的是  我面临一个难题 	 だが、私は厄介な問題に直面している。 
395980	401041	 That my wand and Potter's share the same core. 	 我和波特的魔杖共用一个杖芯 	 私の杖とポッターの杖は 同じ芯でできている。 
402340	408048	 They are, in some ways, twins. 	 从某种程度上来说  它们是双胞胎 	 ある意味、２つは双子の兄弟だ。 
408970	413053	 We can wound, but not fatally harm one another. 	 虽能造成伤害  但杀不死对方 	 傷つけることはできても 致命傷を与えられない。 
415270	418058	 If I am to kill him... 	 要想干掉他 	 ポッターを殺すためには… 
418680	422002	 ...I must do it with another's wand. 	 我必须用另一根魔杖 	 別の杖を使う必要がある。 
424570	430010	 Come, surely one of you would like the honor? 	 当然  你们中的一位会享此殊荣 	 実に名誉なことであろう？ 
432016	433013	 Mm? 		
434730	440020	 What about you, Lucius? 	 你怎么样  卢修斯 	 お前はどうだ、ルシウス？ 
442650	446026	" My Lord?  ""My Lord?"" "	" -主人  -""主人"" "	" わ、我が君…  ""我が君""だと？ "
446910	450030	 I require your wand. 	 我要你的魔杖 	 お前の杖を出せ。 
464140	468048	 Do I detect elm?  Yes, my Lord. 	 -是榆木做的吗  -是的  主人 	 エルの木か？  そのとおりです 
474510	477057	 And the core? 	 杖芯呢 	 芯は？ 
477895	480000	 Dragon. Ahem. 		 ドラゴンの… 
480080	484004	 Dragon heartstring, my Lord.  - Dragon heartstring. - Mm. 	 -龙心腱  主人  -龙心腱 	 ドラゴンの心臓の毛です。  - ドラゴンの心臓の毛か？ - はい 
499710	501021	 To those of you who do not know... 	 也许你们有些人还不知道 	 知らない者に教えておこう… 
501560	504024	 ...we are joined tonight by Miss Charity Burbage... 	 今晚我们请到了  凯瑞迪·巴布吉教授 	 今夜はミス･バーベッジに お越しいただいている… 
504640	510030	 ...who, until recently, taught at Hogwarts School of Witchcraft and Wizardry. 	 她此前  一直在霍格沃茨魔法学校教魔法和巫术 	 彼女は最近までホグワーツで 教鞭をとっていた。 
510210	514034	 Her specialty was Muggle Studies. 	 她的专长是麻瓜研究 	 専門はマグル学だった。 
515950	523043	 It is Miss Burbage's belief that Muggles are not so different from us. 	 巴布吉教授相信  麻瓜与我们毫无差别 	 ミス･バーベッジはマグルと我々は それほど違わないと思っている。 
523350	527047	 She would, given her way... 	 她认为 	 彼女は我々とマグルを… 
527540	529049	 ...have us mate with them. 	 我们应该与麻瓜通婚 	 結婚させようと考えている。 
533480	539059	 To her, the mixture of magical and Muggle blood is not an abomination... 	 用她的话说  麻瓜与巫师通婚  不应引以为耻 	 彼女にとって魔法界とマグルの血が 混じることは恥ずべきことではなく… 
539700	542002	 ...but something to be encouraged. 	 反而值得鼓励 	 奨励されることなんだ。 
544028	545005	 Severus. 	 西弗勒斯 	 セブルス… 
545760	548008	 Severus, please. 	 西弗勒斯  求你了 	 お願い、セブルス… 
549380	551011	 We're friends. 	 我们是朋友 	 私たち、友達よね？ 
556641	558018	 <i>Avada Kedavra!</i> 		 アヴァーダ・カダヴラ 
568420	570030	 Nagini. 	 纳吉尼 	 ナギニ 
573570	575035	 Dinner. 	 用餐吧 	 夕食だぞ… 
621570	622022		 讣文: 怀念邓布利多 	
623070	624024		 作者: 埃非亚斯·多吉 	
680780	691031	 - Hello, Harry. - All right. Wow.  Hello.  - You're looking fit. - Yeah, he's absolutely gorgeous.  What say we get undercover before someone murders him? 	 你好 哈利  -你好  -你看起来不错  那还用说  他绝对没问题  我说趁敌人对他动手前  赶快行动 	 元気か、ハリー！  やあ！  - 太ったみたいだな。 - ああ、まったく素晴らしいよ…  ハリーが誰かに殺される前に 内密にやろうじゃないか。 
691550	692032	 Evening. 	 晚上好 	 今晩は… 
697430	699039	 I thought you were looking after the Prime Minister. 	 金斯莱  你不是一直在保护麻瓜首相吗 	 キングスリーは魔法大臣を 守ってたんじゃないの？ 
699404	705045	 You are more important.  - Hello, Harry. Bill Weasley. - Oh. Pleasure to meet you. 	 你更重要  你好  哈利  比尔·韦斯莱  很高兴见到你 	 君の方が重要だ。  - やあ、ハリー。ビル･ウィズリーだ。 - 初めまして。 
705350	708048	 - He was never always this handsome. - Dead ugly. 	 -他平时没这么帅  -冒失鬼 	 - いつもハンサムだったわけじゃない。 - 向こう見ずさ。 
708450	709049	 True enough. 	 绝对的 	 そうだな。 
709710	716056	 Owe it all to a werewolf, name of Greyback.  - Hope to repay the favor one day. - You're still beautiful to me, William. 	 我在威尔士  捕了一个只灰背  也许有一天我会喜欢上它  在我眼里你还是那么帅  威廉 	 オオカミ人間のグレイバックと 戦ってこうなった。  - いつか仕返ししたいもんだ。 - あなたはいつもハンサムよ、ビリー 
716530	720000	 Just remember, Fleur, Bill takes his steaks on the raw side now. 	 你要小心  芙蓉·比尔现在迷恋生牛排了 	 いいかい、フレア。 ビルはもう生のステーキを食べるんだ。 
720404	722002	 My husband, the joker. 	 我丈夫就爱开玩笑 	 夫は冗談が好きなの。 
722570	726006	 By the way, wait till you hear the news. Remus and I-- 	 对了  一直想告诉你们  我和莱姆斯... 	 でも、連絡するまで待ってね。 リーマスと私が… 
726300	728008	 All right. We'll have time for a cozy catch-up later. 	 够了  没时间聊家常了 	 親しくしてる時間はない。 
728360	731011	 We've got to get the hell out of here. And soon. 	 我们必须离开这里  越快越好 	 ここを出るんだ。 すぐにだ。 
732490	735015	 Potter, you're underage, which means you've still got the Trace on you. 	 波特  你还未成年  这意味着你身上仍带有踪丝 	 ポッター、お前は未成年者だから ※まだひも付きだ。 
735490	736016		 什么踪丝 	
736020	737017	 What's the Trace? 	 如果你打个喷嚏 	 ひも付きって？ 
737221	739019	 If you sneeze, the Ministry will know who wipes your nose. 	 魔法部就会知道谁给你擦的鼻子 	 お前がくしゃみをしたら、魔法省には 誰がお前の鼻を拭いたのかが分かる。 
739370	740020		 关键是我们得用 	
740057	743023	 We have to use those means of transport the Trace can't detect: 	 踪丝无法探测的方式转移 	 重要なことは、ひも付きで見抜けない 移動方法をとることだ。 
743180	745025	 Brooms, Thestrals and the like. We go in pairs. 	 飞天扫帚  夜骐和飞天摩托  我们结对走 	 箒やセトラルで二人一組で行く。 
745650	749029	 That way, if anyone's out there waiting for us, and I reckon there will be... 	 如果食死徒准备伏击我们  我觉得他们肯定会来 	 この方法なら 何が我々を待ち伏せていても… 
749600	752032	 ...they won't know which Harry Potter is the real one. 	 他们分不清哪个才是真正的哈利·波特 	 どれが本物のハリー･ポッターか 分からないだろう。 
752710	753033	 The real one? 	 真正的 	 本物って？ 
755080	758038	 I believe you're familiar with this particular brew. 	 你一定很熟悉这种液体 	 君はこの飲み物をよく知ってると思うがね。 
758460	762042	 No. Absolutely not.  I told you he'd take it well. 	 -不  绝对不行  -我说过他会这反应吧 	 だめだよ。絶対だめだ。  ハリーは納得しないと言ったでしょう。 
762170	765045	 No, if you think I'm gonna let everyone risk their lives for me, I-- 	 不  如果你们认为  我会让每个人为我冒生命危险... 	 だめだ。ぼくのために皆の命を 危険にさらすなんて… 
765540	768048	 - Never done that before, have we? - No. No. This is different. 	 伙计  咱们之前又不是没干过  不  这次不一样 	 －前にやったことあるじゃないか。 －違うよ、これはそんなんじゃない。 
768920	771051	 I mean, taking that, becoming me. No. 	 喝了它  变成我  不行 	 あの薬でぼくになるなんて、ダメだ！ 
771220	777057	 Well, none of us really fancy it, mate.  Imagine if something went wrong, and we ended up a scrawny, specky git forever. 	 其实我们才不喜欢呢  伙计  想象一下  如果出了什么岔子  我们就永远成为满脸雀斑  疯疯癫癫的小笨蛋了 	 誰も面白くてやるわけじゃない。  そうさ。何かの間違いで、一生ガリガリ 野郎のままになったらどうするんだ。 
777120	779059	 Everyone here is of age, Potter. 	 这里的每个人都成年了  波特 	 皆、大人だよ、ポッター 
779870	781001	 They've all agreed to take the risk. 	 他们愿意冒这个险 	 危険は承知の上だ。 
782733	787007	 Technically, I've been coerced.  Mundungus Fletcher, Mr. Potter. 	 准确的说  我是被胁迫的  在下是蒙顿格斯·弗莱彻  波特先生 	 正確に言えば俺は強要されたんだ…  マンダンガス･フレッチャーだ。 
787880	791011	 - Always been a huge admirer. - Nip it, Mundungus. 	 您最忠实的粉丝  闭嘴  蒙顿格斯 	 - 以前から君のファンでね - やめろ、マンダンガス 
791890	794014	 All right, Granger, as discussed. 	 格兰杰小姐  依计而行 	 グレンジャー、議論は済んだ。 
794224	797017	 - Blimey, Hermione. - Straight in here, if you please. 	 轻点  赫敏  请放进去 	 - ひどいよ、ハーマイオニー - ここに入れてくれ 
807140	811031	 For those of you who haven't taken Polyjuice Potion before, fair warning: 	 对于那些没有喝过复方汤剂的人  给你们一个忠告 	 飲んだことがない者に注意しておくが… 
811179	813033	 It tastes like goblin piss. 	 尝起来有点像妖精的尿 	 ゴブリンの小便のような味だ。 
813090	816036	 Have a lot of experiences with that, do you, Mad-Eye? 	 你尝尿无数了是吧  疯眼汉 	 マッド･アイ、それを飲んだことあるの？ 
817290	820040	 Just trying to diffuse the tension. 	 活跃一下气氛嘛 	 落ち着こうとしただけだよ。 
821305	823043	 Oh. 		 
826177	827047	 Ugh. 		 
852130	854014	 Wow, we're identical. 	 咱俩一摸一样 	 ぼくたち、そっくりだ！ 
854270	855015	 Not yet, you're not. 	 还没完呢 	 お前はまだだよ。 
859090	861021	 Haven't got anything a bit more sporting, have you? 	 你就没有一件运动型的吗 	 もっとスポーティーな服持ってないの？ 
861722	863023	 I don't really fancy this color. 	 我不太喜欢这个颜色 	 この色は気に入らないな。 
863342	866026	 Well, fancy this, you're not you. So shut it and strip. 	 给你你就穿  由不得你了  快换上 	 君は君じゃないんだから さっさと服を脱ぐんだ。 
866370	869029	 All right, all right.  You'll need to change too, Potter. 	 好了  好了  你也得换  波特 	 分かったよ。  ポッター、君もだ。 
870080	872032	 Bill, look away. I'm hideous. 	 比尔  头扭过去  我丑死了 	 ビル、見ないで。気味が悪いわ。 
873090	875035	 I knew she was lying about that tattoo. 	 我就知道她说的那个纹身是假的 	 そのタトゥーは隠せ 
875593	878038	 Harry, your eyesight really is awful. 	 哈利  你的视力真是糟透了 	 ハリー、視力、本当に悪いのね。 
878195	881041	 Right, then. We'll be pairing off. Each Potter will have a protector. 	 好了  我们来分组  每个波特都有一个保护者 	 ペアで行くぞ。 全員、プロテクターを持つんだ。 
881820	885045	 Mundungus, stick tight to me. I wanna keep an eye on you. 	 蒙顿格斯  跟紧我  我得盯着点你 	 マンダンガスは俺とだ。 お前を監視していたい。 
885903	887047	 - As for Harry-- - Yes? 	 -而哈利... -这 	 －ハリーは… －何？ 
888440	894054	 The real Harry.  - Where the devil are you, anyway? - Here.  You'll ride with Hagrid. 	 真正的哈利  到底哪个是你  -在这  -你和海格骑摩托 	 本物のハリーだ。  - どこにいるんだ？ - ここです。  君はハグリッドと行け。 
894600	899059	 I brought you here 16 years ago when you were no bigger than a Bowtruckle. 	 我16年前送你来这时  你还没有一只小史棘龙大 	 １６年前君をここに連れてきたとき ボートラックルほどの大きさもなかった。 
899750	902002	 Seems only right that I should be the one to take you away now. 	 看起来  解铃还须系铃人啊 	 そう考えると、君を連れ出すのは わしであるべきなのさ。 
903034	906006	 Yes, it's all very touching. Let's go. 	 多感人啊  出发了 	 実に泣かせる話だよ。さあ、行くぞ！ 
919280	923023	 Head for the Burrows. We'll rendezvous there. 	 目的地陋居  到那碰面 	 バローの隠れ家に向かえ。 そこで集合だ。 
923560	927027	 On the count of three.  Hold tight, Harry. 	 -数到三  -抓紧了  哈利 	 3つ数えたら出発だ。  しっかりつかまってろ、ハリー 
927630	929029	 One... 	 一 	 1... 
930580	932032	 ...two... 	 二 	 ...2... 
938600	940040	 ...three! 	 三 	 ...3! 
970588	973013	 - Which one? - Where are you? 		
974959	976016	 He's on your right! 		
976861	978018	 He's over there! 		
978530	980020	 Down! 	 注意你的右边 	
985250	987027	 Hagrid, we have to help the others! 	 海格  我们得回去帮他们 	 ハグリッド、皆を助けないと！ 
987588	990030	 I can't do that, Harry. Mad-Eye's orders. 	 不行  哈利  疯眼汉有命令 	 ハリー、それはできない マッド･アイの指示だ。 
997480	999039	 Hang on. 	 抓紧了 	 つかまってろ！ 
1003210	1005045	 <i>Stupefy!</i> 	 昏昏倒地 	 ステューピファイ！ 
1018890	1019059		 抓紧了  哈利 	
1019103	1020000	 Hang on, Harry. 		 つかまれ、ハリー！ 
1029990	1031011	 Hagrid. 	 海格 	 ハグリッド！ 
1048950	1051031	 No. No. 	 不  不 	 
1073557	1075055	 <i>Harry.</i> 		 
1154890	1158018	 Harry. Hagrid. 	 哈利  哈利  海格 	 ハリー！ハグリッド！ 
1159750	1163023	 What happened? Where are the others? 	 发生什么事了  其他人在哪 	 何があったの？他の人達は？ 
1163550	1164024	 Is no one else back? 	 还没人回来吗 	 誰も戻ってないの？ 
1164910	1168028	 They were on us right from the start, Molly. We didn't stand a chance. 	 我们一出发就被食死徒攻击了  莫丽  毫无还手之力 	 最初からバレてたんだ、モリー 俺達に勝ち目はなかった。 
1168340	1171031	 Well, thank goodness you two are all right. 	 谢天谢地你们俩没事 	 でも、よかったわ。 あなた達二人は無事ね。 
1171850	1174034	 The Death Eaters were waiting for us. It was an ambush. 	 食死徒一直在等我们  他们早埋伏好了 	 デスイーターが待ち伏せしていて 俺達を攻撃したんだ。 
1174690	1178038	 Ron and Tonks should've already been back.  Dad and Fred as well. 	 罗恩和比尔早该回来了  爸爸和弗雷德也是 	 ロンとトンクスはもう戻ってて いい頃なのに…  父さんとフレッドもよ。 
1180990	1183043	 Here! 	 在这 	 ここだ 
1183430	1187047	 Quick. Into the house. 	 快  进屋 	 早く、家の中に 
1190810	1192052	 Oh, my boy. 	 我的孩子 	 早く、家の中に 
1195112	1197057	 Oh. Oh. 		 
1197480	1200000	 - Lupin! - What are you doing? 	 -过来  -你干什么 	 - こっちへ来い！ - 何をするの？ 
1202830	1205005	 What creature sat in the corner... 	 哈利波特在霍格沃兹第一次拜访我的办公室时 	 ハリーがホグワーツの 私の事務室に初めて来たとき､ 
1205454	1209009	 ...the first time Harry Potter visited my office in Hogwarts? 	 房间角落里的是什么生物 	 そこに座っていた生き物は何だった？ 
1209550	1211011	 - Are you mad? - What creature?! 	 -你疯了吗  -什么东西 	 - どうしたの？ - 何の生き物がいた？ 
1211200	1213013	 A Grindylow. 	 一只格林迪洛 	 グリンディローだ 
1219410	1221021	 We've been betrayed. 	 我们被出卖了 	 我々は密告されていた。 
1221130	1223023	 Voldemort knew you were being moved tonight. 	 伏地魔知道我们今晚要转移你 	 我々が今夜動くことを ボルデモートは知ってた。 
1223720	1226026	 I had to make sure you weren't an impostor. 	 我得确定你是不是冒牌货 	 君が偽者でないことを 確認する必要があったんだ。 
1233790	1235035	 Wait. 	 等等 	 待て！ 
1238260	1243043	 The last words Albus Dumbledore spoke to the pair of us? 	 邓不利多最后对我们两个说的什么 	 ダンブルドアが我々に言った 最後の言葉は？ 
1244630	1249049	Harry is the best hope we have. Trust him. 	 哈利是我们最大的希望  相信他 	"ハリーが最後の希望だ。"" ""彼を信じろ。 "
1253430	1254054	 What gave you away? 	 你是怎么脱身的 	 どうしてバレたんだ？ 
1254730	1258058	 Hedwig, I think. She was trying to protect me. 	 海德薇来了  她想保护我 	 ヘドウィグだと思う。 ヘドウィグがぼくを助けようとしたんだ 
1274330	1275015	 Thanks. 	 谢谢 	 ありがとう。 
1275750	1281021	 Deserves that. Brilliant, he was.  - I wouldn't be standing here without him. - Really? 	 你该好好抱抱他  太了不起了  要没他我早死了  真的吗 	 彼のお陰よ。すごかったわ。  - 彼がいなかったら私は死んでたわ。 - 本当に？ 
1282370	1285025	 Always the tone of surprise. 	 需要这么大惊小怪吗 	 どうしていつもそんなに驚くんだ？ 
1293180	1297037	 We the last back?  Where's George? 	 我们是最后一批吗  乔治呢 	 ぼくらが最後なの？  ジョージは？ 
1317780	1320000	 How you feeling, Georgie? 	 乔治  你感觉怎么样 	 気分はどうだ、ジョージ？ 
1322210	1326006	 Saint-like.  Come again? 	 -像个圣人  -什么 	 死人みたいだ。  何だって？ 
1327140	1334014	 Saint-like. I'm holy.  I'm holey, Fred. Get it? 	 像个圣人  我变神圣了  我有洞了  弗雷德  明白吗 	 死人みたい  穴が空いたよ、フレッド。 分かるかい？ 
1334070	1335015		 [注: 乔治是指holy和holey的同音双关] 	
1335930	1342022	" The whole wide world of ear-related humor and you go for ""I'm holey.""  That's pathetic. "	" 全世界那么多关于耳朵的笑点  你偏挑了个""我有洞了""  真衰 "	 耳と穴だらけの自分を ユーモアでひっかけたのか。  哀れだな。 
1342600	1345025	 Reckon I'm still better-looking than you. 	 我还是比你帅 	 お前よりましさ。 
1348540	1350030	 Mad-Eye's dead. 	 疯眼汉死了 	 マッドアイが死んだ。 
1361130	1365045	 Mundungus took one look at Voldemort and Disapparated. 	 蒙顿格斯一看见伏地魔就溜了 	 マンダンガスがヴォルデモートを見て 姿を消したんだ。 
1387780	1390010	 <i>Head for the Burrows.</i> 	 目的地陋居 	 バローの隠れ家に向かえ 
1390640	1396016	 <i>This is beyond anything I imagined.</i>  <i>- Seven? - Seven...? A Horcrux.</i>  <i>They could be hidden anywhere.</i> 	 七个  七个  -魂器  -它们可能藏在任何地方  对吗 	 私の想像を超えていたよ…  －７つだ。 －今まで考えていたより多い。  －ホークラックス… －どこかに隠されているんだよね？ 
1396220	1402022	 <i>To rip the soul into seven pieces....</i>  <i>- If you did destroy each Horcrux.... - One destroys Voldemort.</i> 	 灵魂裂于七块  如果我们摧毁了所有的魂器  就能最终击败伏地魔 	 魂を７つに引き裂く…  - もしホークラックスを全部破壊すれば… - ヴォルデモートを倒せる… 
1405200	1407027	 <i>Trust me.</i> 	 哈利 	 信じるんだ 
1407550	1411031	 <i>You lied to me. Lied to me, Ollivander.</i> 	 -不要骗我  不要骗我  -不可以 	 私にうそをつくな。 
1443550	1445005	 Going somewhere? 	 你要去哪 	 どこかに行くのか？ 
1449060	1453013	 Nobody else is going to die. Not for me. 	 再不会有人牺牲了  为我而牺牲 	 ぼくのために もう誰も死なせたくない。 
1453550	1455015	 For you? 	 为了你 	 君のせいだと言うのか？ 
1455410	1457017	 You think Mad-Eye died for you? 	 你以为疯眼汉为你而死 	 マッドアイが死んだのは 君のせいだと思ってるのか？ 
1457900	1461021	 You think George took that curse for you? 	 你以为乔治为你而伤 	 ジョージが負傷したのは 君のせいだと思ってるのか？ 
1461470	1465025	 You may be the Chosen One, mate, but this is a whole lot bigger than that. 	 也许你就是那个救世主  这才是最重要的 	 君は選ばれし者かも知れないが… 
1465690	1468028	 It's always been bigger than that. 	 这比什么都重要 	 でも、今回のことはもっと 大事なことのためなんだ。 
1470450	1473033	 - Come with me. - What, and leave Hermione? 	 -跟我来吧  -撇下赫敏吗 	 －一緒に来て。 －ハーマイオニーを残して？ 
1473250	1477037	 You mad? We wouldn't last two days without her. 	 你疯了吗  没有她咱们撑不了两天 	 本気？ 彼女なしでは二日ももたないよ。 
1478960	1480040	 Don't tell her I said that. 	 别跟她说我说过这话 	 ぼくがそう言ったとは 彼女には言うなよ。 
1482180	1485045	 Besides, you've still got the Trace on you. 	 而且  你身上还带着踪丝 	 それに、君はまだひも付きだし 
1485489	1489049	 - We've still got the wedding-- - I don't care about a wedding. 	 你还得参加婚礼  我不在乎一个婚礼 	 - 結婚式もあるし… - 結婚式なんてどうでもいいよ。 
1489810	1494054	 I'm sorry. No matter whose it is. I have to start finding these Horcruxes. 	 抱歉  不管是谁的婚礼  我必须开始寻找魂器 	 ごめん。誰の結婚式でも同じだよ。 ホークラックスを早く見つけなくちゃ。 
1494740	1496056	 They're our only chance to beat him... 	 那是我们唯一击败他的机会 	 それがあいつを倒す唯一の望みなんだ。 
1496930	1500000	 ...and the longer we stay here, the stronger he gets. 	 而我们在这待得越久  他就会越强大 	 ここに長くいればいるほど あいつは益々強くなる。 
1501270	1503003	 Tonight's not the night, mate. 	 伙计  今晚还不是时候 	 いいから聞いてくれ。 
1503740	1506006	 We'd only be doing him a favor. 	 只会正中他的下怀 	 それこそ敵の思うツボだ。 
1533850	1536036	 Do you think he knows? 	 你觉得他知道吗 	 あいつは知ってると思うかい？ 
1536550	1542042	 I mean, they're bits of his soul, these Horcruxes. Bits of him. 	 那些魂器是他的灵魂碎片  是他的一部分 	 ホークラックスは魂のかけらで 奴の一部だ。 
1543320	1547047	 When Dumbledore destroyed the ring, you destroyed Tom Riddle's diary... 	 当邓布利多毁了那枚戒指  当你摧毁汤姆·里德尔的日记的时候 	 ダンブルドアが指輪を破壊して 君がリドルの日記を破壊したとき… 
1548880	1551051	 ...he must have felt something. 	 他肯定能感到些什么 	 ヴォルデモートは何かを感じたはずだよ。 
1552330	1556056	 To kill the other Horcruxes, we have to find them. 	 要毁掉剩下的魂器  得先找到它们 	 他のホークラックスを破壊するには 見つけなければならないだろう？ 
1556380	1558058	 Where are they? 	 它们在哪 	 どこにあるのさ？ 
1558920	1561001	 Where do we start? 	 我们从何处着手 	 どこから手をつける？ 
1564285	1567007	 Ready when you are. 	 比尔和芙蓉 	 
1567551	1571011	 Please pay attention! It's your brother's wedding. Buck up. 		 
1571470	1575015		 丽塔·斯基特新著《邓布利多的黑暗面》 	
1590470	1592032		 追忆邓布利多 作者:埃非亚斯·多吉 	
1597280	1600040	 Zip me up, will you? 	 帮我拉上好吗 	 ファスナーを上げてくれる？ 
1612850	1615055	 It seems silly, doesn't it, a wedding? 	 看起来很傻吧  我是说举办婚礼 	 今の状況を考えると… 
1615300	1617057	 Given everything that's going on. 	 发生了这么多事情 	 結婚式なんてバカみたいね？ 
1619070	1621001	 Maybe that's the best reason to have it... 	 可能这就是举行婚礼最好的理由 	 たぶん、それが結婚式の最大の理由だよ。 
1621810	1624004	 ...because of everything that's going on. 	 一切还要继续 	 今の状況だからこそ… 
1640260	1642022	 Morning. 	 早啊 	 おはよう 
1652936	1655035	 Come on, keep up. 		 
1655420	1657037	 All together now. 	 各就各位 	 みんな一緒に！ 
1657380	1663043	 One, two, three. 	 一  二  三 	 1..2..3！ 
1672730	1675055	 How's it looking at your end, boys? 	 你们那边怎么样了  小伙子们 	 どうなってるんだ？ 
1675790	1678058	 Brilliant. 	 很好 	 すごい 
